Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Emmet County, Michigan",33104,34074,2984,9.01%,Emmet County,Michigan
"Genesee County, Michigan",407875,27295,76326,18.71%,Genesee County,Michigan
"Gladwin County, Michigan",25279,25657,4215,16.67%,Gladwin County,Michigan
"Gogebic County, Michigan",15061,25555,2352,15.62%,Gogebic County,Michigan
"Grand Traverse County, Michigan",92181,35405,8703,9.44%,Grand Traverse County,Michigan
"Gratiot County, Michigan",40916,23616,5890,14.4%,Gratiot County,Michigan
"Hillsdale County, Michigan",45757,25621,7137,15.6%,Hillsdale County,Michigan
"Houghton County, Michigan",36070,23421,6742,18.69%,Houghton County,Michigan
"Huron County, Michigan",31349,27852,4030,12.86%,Huron County,Michigan
"Ingham County, Michigan",290587,29380,53303,18.34%,Ingham County,Michigan
"Ionia County, Michigan",64300,24864,7129,11.09%,Ionia County,Michigan
"Iosco County, Michigan",25197,25264,3774,14.98%,Iosco County,Michigan
"Iron County, Michigan",11152,25944,1420,12.73%,Iron County,Michigan
"Isabella County, Michigan",70688,23888,16707,23.63%,Isabella County,Michigan
"Jackson County, Michigan",158636,28364,20509,12.93%,Jackson County,Michigan
"Kalamazoo County, Michigan",262745,31975,38054,14.48%,Kalamazoo County,Michigan
"Kalkaska County, Michigan",17585,24358,2905,16.52%,Kalkaska County,Michigan
"Kent County, Michigan",648121,32524,74720,11.53%,Kent County,Michigan
"Keweenaw County, Michigan",2111,34608,223,10.56%,Keweenaw County,Michigan
"Lake County, Michigan",11852,20461,2416,20.38%,Lake County,Michigan
"Lapeer County, Michigan",88038,30344,8691,9.87%,Lapeer County,Michigan
"Leelanau County, Michigan",21652,39073,1310,6.05%,Leelanau County,Michigan
"Lenawee County, Michigan",98381,27850,10608,10.78%,Lenawee County,Michigan
"Livingston County, Michigan",189754,40351,9808,5.17%,Livingston County,Michigan
"Luce County, Michigan",6338,22350,896,14.14%,Luce County,Michigan
"Mackinac County, Michigan",10780,28966,1744,16.18%,Mackinac County,Michigan
"Macomb County, Michigan",870325,32238,90984,10.45%,Macomb County,Michigan
"Manistee County, Michigan",24457,26668,2652,10.84%,Manistee County,Michigan
"Marquette County, Michigan",66686,27979,9833,14.75%,Marquette County,Michigan
"Mason County, Michigan",28954,29549,4294,14.83%,Mason County,Michigan
"Mecosta County, Michigan",43251,23431,8541,19.75%,Mecosta County,Michigan
"Menominee County, Michigan",23074,27942,2889,12.52%,Menominee County,Michigan
"Midland County, Michigan",83355,36142,8557,10.27%,Midland County,Michigan
"Missaukee County, Michigan",15028,23838,2111,14.05%,Missaukee County,Michigan
"Monroe County, Michigan",149727,31481,16493,11.02%,Monroe County,Michigan
"Montcalm County, Michigan",63413,24200,8706,13.73%,Montcalm County,Michigan
"Montmorency County, Michigan",9265,23958,1507,16.27%,Montmorency County,Michigan
"Muskegon County, Michigan",173297,25435,25719,14.84%,Muskegon County,Michigan
"Newaygo County, Michigan",48366,25451,7928,16.39%,Newaygo County,Michigan
"Oakland County, Michigan",1253185,44629,101559,8.1%,Oakland County,Michigan
"Oceana County, Michigan",26416,24345,3916,14.82%,Oceana County,Michigan
"Ogemaw County, Michigan",20898,23787,3491,16.7%,Ogemaw County,Michigan
"Ontonagon County, Michigan",5877,25022,793,13.49%,Ontonagon County,Michigan
"Osceola County, Michigan",23290,22692,4102,17.61%,Osceola County,Michigan
"Oscoda County, Michigan",8248,24889,1321,16.02%,Oscoda County,Michigan
"Otsego County, Michigan",24490,27234,3302,13.48%,Otsego County,Michigan
"Ottawa County, Michigan",286558,31872,23569,8.22%,Ottawa County,Michigan
"Presque Isle County, Michigan",12714,28103,1642,12.91%,Presque Isle County,Michigan
"Roscommon County, Michigan",23851,25807,3924,16.45%,Roscommon County,Michigan
"Saginaw County, Michigan",191821,28030,33351,17.39%,Saginaw County,Michigan
"St. Clair County, Michigan",159247,30703,19954,12.53%,St. Clair County,Michigan
"St. Joseph County, Michigan",60836,26248,8884,14.6%,St. Joseph County,Michigan
"Sanilac County, Michigan",41295,25871,6150,14.89%,Sanilac County,Michigan
"Schoolcraft County, Michigan",8048,24647,1321,16.41%,Schoolcraft County,Michigan
"Shiawassee County, Michigan",68340,28437,6906,10.11%,Shiawassee County,Michigan
"Tuscola County, Michigan",52939,25996,7380,13.94%,Tuscola County,Michigan
"Van Buren County, Michigan",75358,28049,11060,14.68%,Van Buren County,Michigan
"Washtenaw County, Michigan",367000,41399,48500,13.22%,Washtenaw County,Michigan
"Wayne County, Michigan",1757299,27282,387362,22.04%,Wayne County,Michigan
"Wexford County, Michigan",33256,25149,4665,14.03%,Wexford County,Michigan
"Aitkin County, Minnesota",15834,29275,1896,11.97%,Aitkin County,Minnesota
"Anoka County, Minnesota",350253,36978,20427,5.83%,Anoka County,Minnesota
"Becker County, Minnesota",34011,31729,3678,10.81%,Becker County,Minnesota
"Beltrami County, Minnesota",46403,25418,8306,17.9%,Beltrami County,Minnesota
"Benton County, Minnesota",40129,29831,4071,10.14%,Benton County,Minnesota
"Big Stone County, Minnesota",4996,29459,491,9.83%,Big Stone County,Minnesota
"Blue Earth County, Minnesota",66795,29677,11148,16.69%,Blue Earth County,Minnesota
"Brown County, Minnesota",25163,31237,1670,6.64%,Brown County,Minnesota
"Carlton County, Minnesota",35633,29440,3851,10.81%,Carlton County,Minnesota
"Carver County, Minnesota",101949,47221,4126,4.05%,Carver County,Minnesota
"Cass County, Minnesota",29268,30326,3909,13.36%,Cass County,Minnesota
"Chippewa County, Minnesota",11953,30772,1095,9.16%,Chippewa County,Minnesota
"Chisago County, Minnesota",55315,35021,3210,5.8%,Chisago County,Minnesota
"Clay County, Minnesota",63446,30768,7329,11.55%,Clay County,Minnesota
"Clearwater County, Minnesota",8821,27178,1260,14.28%,Clearwater County,Minnesota
"Cook County, Minnesota",5376,33194,670,12.46%,Cook County,Minnesota
"Cottonwood County, Minnesota",11299,27459,1214,10.74%,Cottonwood County,Minnesota
"Crow Wing County, Minnesota",64217,32368,6810,10.6%,Crow Wing County,Minnesota
"Dakota County, Minnesota",421453,41552,25333,6.01%,Dakota County,Minnesota
"Dodge County, Minnesota",20669,34399,1053,5.09%,Dodge County,Minnesota
"Douglas County, Minnesota",37513,36535,2814,7.5%,Douglas County,Minnesota
"Faribault County, Minnesota",13801,29991,1543,11.18%,Faribault County,Minnesota
"Fillmore County, Minnesota",20949,30392,2201,10.51%,Fillmore County,Minnesota
"Freeborn County, Minnesota",30463,29316,3295,10.82%,Freeborn County,Minnesota
"Goodhue County, Minnesota",46246,34803,4230,9.15%,Goodhue County,Minnesota
"Grant County, Minnesota",5935,32871,566,9.54%,Grant County,Minnesota
"Hennepin County, Minnesota",1245837,45768,127872,10.26%,Hennepin County,Minnesota
"Houston County, Minnesota",18648,33032,1451,7.78%,Houston County,Minnesota
"Hubbard County, Minnesota",21019,29896,2452,11.67%,Hubbard County,Minnesota
"Isanti County, Minnesota",39430,34054,2850,7.23%,Isanti County,Minnesota
"Itasca County, Minnesota",45141,30286,5376,11.91%,Itasca County,Minnesota
"Jackson County, Minnesota",9954,34325,768,7.72%,Jackson County,Minnesota
"Kanabec County, Minnesota",16089,28427,1578,9.81%,Kanabec County,Minnesota
"Kandiyohi County, Minnesota",42841,31039,4409,10.29%,Kandiyohi County,Minnesota
"Kittson County, Minnesota",4311,30539,466,10.81%,Kittson County,Minnesota
"Koochiching County, Minnesota",12515,29834,1665,13.3%,Koochiching County,Minnesota
"Lac qui Parle County, Minnesota",6719,32437,547,8.14%,Lac qui Parle County,Minnesota
"Lake County, Minnesota",10560,34207,902,8.54%,Lake County,Minnesota
"Lake of the Woods County, Minnesota",3771,25640,399,10.58%,Lake of the Woods County,Minnesota
"Le Sueur County, Minnesota",28242,33311,2389,8.46%,Le Sueur County,Minnesota
"Lincoln County, Minnesota",5677,30253,598,10.53%,Lincoln County,Minnesota
"Lyon County, Minnesota",25758,29634,3473,13.48%,Lyon County,Minnesota
"McLeod County, Minnesota",35832,32465,3018,8.42%,McLeod County,Minnesota
"Mahnomen County, Minnesota",5501,21279,1254,22.8%,Mahnomen County,Minnesota
"Marshall County, Minnesota",9372,30746,637,6.8%,Marshall County,Minnesota
"Martin County, Minnesota",19852,31066,2685,13.53%,Martin County,Minnesota
"Meeker County, Minnesota",23105,32368,1524,6.6%,Meeker County,Minnesota
"Mille Lacs County, Minnesota",25865,27758,3127,12.09%,Mille Lacs County,Minnesota
"Morrison County, Minnesota",33064,29680,3317,10.03%,Morrison County,Minnesota
"Mower County, Minnesota",39807,29720,5277,13.26%,Mower County,Minnesota
"Murray County, Minnesota",8296,31874,580,6.99%,Murray County,Minnesota
"Nicollet County, Minnesota",33954,33031,3117,9.18%,Nicollet County,Minnesota
"Nobles County, Minnesota",21734,25939,2889,13.29%,Nobles County,Minnesota
"Norman County, Minnesota",6520,30422,562,8.62%,Norman County,Minnesota
"Olmsted County, Minnesota",154809,41066,12864,8.31%,Olmsted County,Minnesota
"Otter Tail County, Minnesota",58195,32059,5328,9.16%,Otter Tail County,Minnesota
"Pennington County, Minnesota",14183,31159,1535,10.82%,Pennington County,Minnesota
"Pine County, Minnesota",29223,26407,3027,10.36%,Pine County,Minnesota
"Pipestone County, Minnesota",9191,30540,1056,11.49%,Pipestone County,Minnesota
"Polk County, Minnesota",31521,30078,3579,11.35%,Polk County,Minnesota
"Pope County, Minnesota",11048,34166,779,7.05%,Pope County,Minnesota
"Ramsey County, Minnesota",544442,35013,74112,13.61%,Ramsey County,Minnesota
"Red Lake County, Minnesota",4015,30037,416,10.36%,Red Lake County,Minnesota
"Redwood County, Minnesota",15261,28611,1508,9.88%,Redwood County,Minnesota
"Renville County, Minnesota",14652,31253,1420,9.69%,Renville County,Minnesota
"Rice County, Minnesota",66185,31221,5301,8.01%,Rice County,Minnesota
"Rock County, Minnesota",9402,31345,824,8.76%,Rock County,Minnesota
"Roseau County, Minnesota",15361,30193,1219,7.94%,Roseau County,Minnesota
"St. Louis County, Minnesota",199759,31537,26991,13.51%,St. Louis County,Minnesota
"Scott County, Minnesota",145275,42155,7896,5.44%,Scott County,Minnesota
"Sherburne County, Minnesota",94463,35439,5912,6.26%,Sherburne County,Minnesota
"Sibley County, Minnesota",14892,32016,1170,7.86%,Sibley County,Minnesota
"Stearns County, Minnesota",158452,30994,19552,12.34%,Stearns County,Minnesota
"Steele County, Minnesota",36683,32477,3236,8.82%,Steele County,Minnesota
"Stevens County, Minnesota",9789,32542,1178,12.03%,Stevens County,Minnesota
"Swift County, Minnesota",9359,31765,1155,12.34%,Swift County,Minnesota
"Todd County, Minnesota",24494,26678,2871,11.72%,Todd County,Minnesota
"Traverse County, Minnesota",3311,32548,319,9.63%,Traverse County,Minnesota
"Wabasha County, Minnesota",21537,34442,1651,7.67%,Wabasha County,Minnesota
"Wadena County, Minnesota",13654,24214,1907,13.97%,Wadena County,Minnesota
"Waseca County, Minnesota",18740,29929,1718,9.17%,Waseca County,Minnesota
"Washington County, Minnesota",255938,45822,10822,4.23%,Washington County,Minnesota
"Watonwan County, Minnesota",10972,28341,1451,13.22%,Watonwan County,Minnesota
"Wilkin County, Minnesota",6291,34543,564,8.97%,Wilkin County,Minnesota
"Winona County, Minnesota",50725,30013,6074,11.97%,Winona County,Minnesota
"Wright County, Minnesota",134438,36260,6122,4.55%,Wright County,Minnesota
"Yellow Medicine County, Minnesota",9814,29908,1130,11.51%,Yellow Medicine County,Minnesota
"Adams County, Mississippi",31266,18386,9052,28.95%,Adams County,Mississippi
"Alcorn County, Mississippi",37090,23909,5440,14.67%,Alcorn County,Mississippi
"Amite County, Mississippi",12412,21568,3281,26.43%,Amite County,Mississippi
"Attala County, Mississippi",18437,21276,4834,26.22%,Attala County,Mississippi
"Benton County, Mississippi",8232,20643,1652,20.07%,Benton County,Mississippi
"Bolivar County, Mississippi",31848,18843,10593,33.26%,Bolivar County,Mississippi
"Calhoun County, Mississippi",14499,19229,3066,21.15%,Calhoun County,Mississippi
"Carroll County, Mississippi",10070,22385,1676,16.64%,Carroll County,Mississippi
"Chickasaw County, Mississippi",17193,19926,3441,20.01%,Chickasaw County,Mississippi
"Choctaw County, Mississippi",8277,22257,1600,19.33%,Choctaw County,Mississippi
"Claiborne County, Mississippi",9089,14320,3419,37.62%,Claiborne County,Mississippi
"Clarke County, Mississippi",15770,23988,2997,19.0%,Clarke County,Mississippi
"Clay County, Mississippi",19640,20599,4941,25.16%,Clay County,Mississippi
"Coahoma County, Mississippi",23255,18985,7882,33.89%,Coahoma County,Mississippi
"Copiah County, Mississippi",28501,20093,6611,23.2%,Copiah County,Mississippi
"Covington County, Mississippi",18978,19180,4515,23.79%,Covington County,Mississippi
"DeSoto County, Mississippi",178975,30195,16261,9.09%,DeSoto County,Mississippi
"Forrest County, Mississippi",75224,22534,18604,24.73%,Forrest County,Mississippi
"Franklin County, Mississippi",7733,23067,1153,14.91%,Franklin County,Mississippi
"George County, Mississippi",23917,22732,4018,16.8%,George County,Mississippi
"Greene County, Mississippi",13645,16006,1801,13.2%,Greene County,Mississippi
"Grenada County, Mississippi",21088,23135,4362,20.68%,Grenada County,Mississippi
"Hancock County, Mississippi",46961,27462,8619,18.35%,Hancock County,Mississippi
"Harrison County, Mississippi",204502,25415,39981,19.55%,Harrison County,Mississippi
"Hinds County, Mississippi",238797,23734,48955,20.5%,Hinds County,Mississippi
"Holmes County, Mississippi",17737,15291,7202,40.6%,Holmes County,Mississippi
"Humphreys County, Mississippi",8389,18513,3020,36.0%,Humphreys County,Mississippi
"Issaquena County, Mississippi",1361,16388,383,28.14%,Issaquena County,Mississippi
"Itawamba County, Mississippi",23462,22806,3021,12.88%,Itawamba County,Mississippi
"Jackson County, Mississippi",142376,27141,22794,16.01%,Jackson County,Mississippi
"Jasper County, Mississippi",16505,22523,3661,22.18%,Jasper County,Mississippi
"Jefferson County, Mississippi",7225,14659,2530,35.02%,Jefferson County,Mississippi
"Jefferson Davis County, Mississippi",11339,20638,2781,24.53%,Jefferson Davis County,Mississippi
"Jones County, Mississippi",68352,23163,14483,21.19%,Jones County,Mississippi
"Kemper County, Mississippi",9943,16995,2579,25.94%,Kemper County,Mississippi
"Lafayette County, Mississippi",53590,27765,10788,20.13%,Lafayette County,Mississippi
"Lamar County, Mississippi",61969,30062,11217,18.1%,Lamar County,Mississippi
"Lauderdale County, Mississippi",76279,24698,15181,19.9%,Lauderdale County,Mississippi
"Lawrence County, Mississippi",12633,22980,2352,18.62%,Lawrence County,Mississippi
"Leake County, Mississippi",22792,19893,5824,25.55%,Leake County,Mississippi
"Lee County, Mississippi",85072,26369,12254,14.4%,Lee County,Mississippi
"Leflore County, Mississippi",29222,18419,10260,35.11%,Leflore County,Mississippi
"Lincoln County, Mississippi",34320,23541,7094,20.67%,Lincoln County,Mississippi
"Lowndes County, Mississippi",59150,26438,11722,19.82%,Lowndes County,Mississippi
"Madison County, Mississippi",104562,38901,9883,9.45%,Madison County,Mississippi
"Marion County, Mississippi",24990,19545,6193,24.78%,Marion County,Mississippi
"Marshall County, Mississippi",35599,21853,6275,17.63%,Marshall County,Mississippi
"Monroe County, Mississippi",35673,23844,6125,17.17%,Monroe County,Mississippi
"Montgomery County, Mississippi",10068,24054,2686,26.68%,Montgomery County,Mississippi
"Neshoba County, Mississippi",29332,19540,7388,25.19%,Neshoba County,Mississippi
"Newton County, Mississippi",21360,20787,5305,24.84%,Newton County,Mississippi
"Noxubee County, Mississippi",10700,18525,3406,31.83%,Noxubee County,Mississippi
"Oktibbeha County, Mississippi",49512,22512,13499,27.26%,Oktibbeha County,Mississippi
"Panola County, Mississippi",34190,19892,6877,20.11%,Panola County,Mississippi
"Pearl River County, Mississippi",55219,23920,9188,16.64%,Pearl River County,Mississippi
"Perry County, Mississippi",12006,23166,2254,18.77%,Perry County,Mississippi
"Pike County, Mississippi",39532,17621,12637,31.97%,Pike County,Mississippi
"Pontotoc County, Mississippi",31618,21191,5055,15.99%,Pontotoc County,Mississippi
"Prentiss County, Mississippi",25255,19693,5275,20.89%,Prentiss County,Mississippi
"Quitman County, Mississippi",7187,15026,2497,34.74%,Quitman County,Mississippi
"Rankin County, Mississippi",152677,30835,12245,8.02%,Rankin County,Mississippi
"Scott County, Mississippi",28332,22203,7141,25.2%,Scott County,Mississippi
"Sharkey County, Mississippi",4404,19958,1178,26.75%,Sharkey County,Mississippi
"Simpson County, Mississippi",26888,23520,5098,18.96%,Simpson County,Mississippi
"Smith County, Mississippi",16009,23698,3002,18.75%,Smith County,Mississippi
"Stone County, Mississippi",18276,23820,3466,18.96%,Stone County,Mississippi
"Sunflower County, Mississippi",26168,15646,6937,26.51%,Sunflower County,Mississippi
"Tallahatchie County, Mississippi",14158,16742,3713,26.23%,Tallahatchie County,Mississippi
"Tate County, Mississippi",28404,23340,4775,16.81%,Tate County,Mississippi
"Tippah County, Mississippi",22018,19501,4321,19.62%,Tippah County,Mississippi
"Tishomingo County, Mississippi",19441,20390,3787,19.48%,Tishomingo County,Mississippi
"Tunica County, Mississippi",9988,20579,2322,23.25%,Tunica County,Mississippi
"Union County, Mississippi",28507,21705,4255,14.93%,Union County,Mississippi
"Walthall County, Mississippi",14477,21123,3431,23.7%,Walthall County,Mississippi
"Warren County, Mississippi",46519,25661,9487,20.39%,Warren County,Mississippi
"Washington County, Mississippi",46057,20174,15399,33.43%,Washington County,Mississippi
"Wayne County, Mississippi",20373,23668,4136,20.3%,Wayne County,Mississippi
"Webster County, Mississippi",9768,22011,2136,21.87%,Webster County,Mississippi
"Wilkinson County, Mississippi",8875,15475,2673,30.12%,Wilkinson County,Mississippi
"Winston County, Mississippi",18229,25263,4104,22.51%,Winston County,Mississippi
"Yalobusha County, Mississippi",12367,20690,2234,18.06%,Yalobusha County,Mississippi
"Yazoo County, Mississippi",28565,19972,7503,26.27%,Yazoo County,Mississippi
"Adair County, Missouri",25369,22847,5421,21.37%,Adair County,Missouri
"Andrew County, Missouri",17503,29338,1362,7.78%,Andrew County,Missouri
"Atchison County, Missouri",5229,31248,620,11.86%,Atchison County,Missouri
"Audrain County, Missouri",25644,23024,3540,13.8%,Audrain County,Missouri
"Barry County, Missouri",35530,25068,7370,20.74%,Barry County,Missouri
"Barton County, Missouri",11797,26509,2366,20.06%,Barton County,Missouri
"Bates County, Missouri",16296,27635,1908,11.71%,Bates County,Missouri
