Title,Other titles,ISBN,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Genre
Curse of the Worgen,World of Warcraft. Curse of the Worgen,9780857688774 ; 9781401232672 ; 9781401234454,"Waugh, James (James M.) [person] ; Washington, Tony [person] ; Abbott, Wes [person] ; Neilson, Micky [person] ; Lullabi, Ludo [person]",,,United States of America,New York,DC Comics,2011,Comic or graphic novel ; Fiction ; Novel
Curse of the crocodile god,,9780756641849 ; 9781405334501,"Inklink (Firm : London, England) [organisation] ; Ross, Stewart [person]","DK readers graphic readers. 4, Proficient readers",,England ; United States of America,London ; New York,Dorling Kindersley,2007,Adventure ; Children's fiction ; Comic or graphic novel ; Fiction ; Historical fiction ; History ; Novel
Curse of the kingbutcher,,9781401274498,"Reis, Ivan, artist [person] ; Orlando, Steve, author ; writer [person]",Justice League of America,2 [Justice League of America],United States of America,"Burbank, California",DC Comics,2017,Comic or graphic novel ; Fiction ; Science fiction
Curse of the mutants oneshots,,9780785152941,"Green, Timothy, ii, 1975- [person] ; Swierczynski, Duane [person]",X-men,,England ; United States of America,London ; New York,Marvel ; Turnaround,2011,Comic or graphic novel ; Fiction
Curse of the mutants,,9781846534775,"Medina, Paco, 1983- [person] ; Gischler, Victor, 1969- [person]",X-men,,England,Tunbridge Wells,Panini,2011,Comic or graphic novel ; Fiction
Curse of the sand witches,,9781510741096,"Stevens, Cara J., author [person] ; Creeden, Mitchell, artist [person]",Redstone Junior High,5 [Redstone Junior High],United States of America,New York,Sky Pony Press,2019,Children's fiction ; Comic or graphic novel
Curse the demon,Fatale. Book five. Curse the demon,9781632150073,"Brubaker, Ed, author [person] ; Phillips, Sean, artist [person] ; Breitweiser, Bettie, artist [person]",,,United States of America,"Berkeley, California",Image Comics,2014,Comic or graphic novel
Curse,,9781608864621,"Daniel, Tim, author ; creator [person] ; Moreci, Michael, author [person] ; Rossmo, Riley, artist [person] ; Lorimer, Colin, artist [person]",,,United States of America,"Los Angeles, California",Boom! Studios,2015,Comic or graphic novel ; Fiction ; Horror
Cursed earth,Judge Dredd the cursed earth,9781840237740,"Mills, Pat [person] ; Wagner, John, 1949- [person]",,,England,London,Titan,2003,Comic or graphic novel ; Fiction
Cursed ranch,Fortune-teller ; Log flume ; Ranch Maudit. English ; Statue ; The cursed ranch,9781849183208,"Léturgie, Jean [person] ; Fauche, Xavier [person] ; Saincantin, Jerome, translator [person] ; Guylouis, C. (Claude) [person] ; Studio Leonardo, artist [organisation] ; Janvier, Michel, 1954-, artist [person] ; Morris, 1923-2001, artist [person]",A Lucky Luke adventure,62 [A Lucky Luke adventure],England,"Canterbury, Kent",Cinebook,2016,Children's fiction ; Comic or graphic novel ; Western
Cursed,,9781845767389,"Scott, Steve (Steven M.) [person] ; Willingham, Bill [person]",Shadowpact,,England,London,Titan,2007,Comic or graphic novel ; Fiction
Curtain call,,9781549303845,"Lupano, Wilfrid, 1971-, author [person] ; Guenoden, Rodolphe, artist [person]",,,United States of America,St Louis,Lion,2018,Comic or graphic novel
Cut the rope : strange delivery,,9781937676049,"Hedgecock, David [person] ; Garcia, Ricardo, cartoonist [person] ; Anderson, Matt, writer [person] ; Alfaro, Antonio [person]",,,United States of America,"San Diego, California",Ape Entertainment,2012,Children's fiction ; Comic or graphic novel ; Novel
Cut the rope : super interactive annual,,,,,,England,Exeter,Pedigree,2013-,Children's literature ; Comic or graphic novel ; Periodical
Cut,,9781593078454,"Herman, Todd, 1972- [person] ; Milgrom, Al [person] ; Piekos, Nate [person] ; Richardson, Mike, 1950- [person] ; Stewart, Dave [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2007,Comic or graphic novel ; Fiction ; Horror
Cute beast,Kawaii beast,9781569707739,"Tsuge, Amayo [person]",,,United States of America,Gardena,Digital Manga Pub ; Juné,2007,Comic or graphic novel
Cute devil,,9781427818034,"Madarame, Hiro [person]",,,United States of America,"Los Angeles, California",Tokyopop,2010,Comic or graphic novel ; Fiction ; Novel
Cute gone bad,Kawaii not : cute gone bad ; Kawaii not. Selections,9781600610769,"Murphy, Meghan [person]",,,United States of America,"Cincinnati, Ohio",,2008,Comic or graphic novel
Cutie Mark chronicles,Call of the Cutie ; When Cutie calls,9781613778302,"Eisinger, Justin, author [person] ; Simon, Alonzo, editor [person] ; Larson, M. A. [person] ; Long, Tom B., artist [person] ; McCarthy, Megan [person] ; Eisinger, Justin [person]",My little pony,2 [My little pony],United States of America,"San Diego, California",,2013,Children's fiction ; Comic or graphic novel
Cutie Mark crusaders,Celestia ; Luna ; Pony tales. Vol. 2 ; Spike,9781613778739,"Anderson, Ted [person] ; Garbowska, Agnes, artist [person] ; Cook, Katie, 1981- [person] ; Anderson, Rob (Robert E.) [person] ; Price, Andy, artist [person] ; Mebberson, Amy, artist [person] ; Breckel, Heather, artist [person] ; Uyetake, Neil [person] ; Bates, Ben, 1982-, artist [person] ; Ball, Georgia [person]",My little pony,,United States of America,"San Diego, California",,2014,Children's fiction ; Comic or graphic novel
Cutter,,9781631400575,"Salvatore, Geno, author [person] ; Salvatore, R. A., 1959-, author [person] ; Baldeón, David, artist [person]",Dungeons & dragons ; Forgotten realms,,United States of America,"San Diego, California",,2014,Comic or graphic novel ; Fantasy
Cyber adventures,,9781879794832,"Staton, Joe [person] ; Oswald, Stephen [person]",,,England ; United States of America,"London ; Mamaroneck, New York",Archie ; Turnaround,2012,Comic or graphic novel ; Fiction
Cyber force,Cyber force : awakening. 1 ; Cyber force : awakening. Volume one,9781534309807,"Hawkins, Matt, author ; writer [person] ; Silvestri, Marc [person] ; Rojo, Atilio, artist [person] ; Hill, Bryan Edward, author [person] ; Peteri, Troy [person]",,,United States of America,Los Angeles,Top Cow Productions,2018,Comic or graphic novel ; Science fiction
Cyberforce,Cyberforce. Vol. 1,9781582407081,"Wohl, David, author [person] ; Top Cow Productions [organisation] ; Silvestri, Marc, artist ; author [person] ; Marz, Ron, author [person] ; Lee, Pat, 1975-, artist [person]",,,United States of America,"Berkeley, California",Image Comics,2006,Comic or graphic novel
Cybertron City,A new threat ; Energon stars,9781591828174,"Klassen, Terry [person]",Transformers. Energon,,England ; United States of America,"London ; Los Angeles, California",Tokyopop,2005,Children's fiction ; Comic or graphic novel ; Science fiction
Cycle of violence,,9781401242824,"Finch, David, 1972-, artist [person] ; Hurwitz, Gregg Andrew, author [person]",Batman. The Dark Knight ; The new 52!,2 [Batman. The Dark Knight],United States of America,New York,DC Comics,2014,Comic or graphic novel ; Fiction ; Science fiction
Cyclops : the comic strip monthly,,,,,,England,London,Innocence & Experience,1970-,Comic or graphic novel
Cyclops and Wolverine,,9781302915827,"Rosenberg, Matthew, author ; novelist [person] ; Larroca, Salvador, artist [person]",The uncanny X-men,,United States of America,New York,Marvel Worldwide,2019,Comic or graphic novel ; Fiction ; Science fiction
Cyrus Perkins and the haunted taxi cab,,9781632291271,"Dwonch, Dave, author ; illustrator [person] ; Lencioni, Anna, artist [person]",,,United States of America,"Canonsburg, Pennsylvania",Action Lab Entertainment,2016,Comic or graphic novel ; Detective and mystery ; Fiction
D4veocracy,Daveocracy,9781631409271,"Ramon, Valentín, artist [person] ; Ferrier, Ryan, artist ; author [person]",,,United States of America,"San Diego, California",,2017,Comic or graphic novel ; Science fiction
DC : the new frontier,,9781401248888,"Fletcher, Jared K., artist [person] ; Cooke, Darwyn, artist ; author [person] ; Cho, Michael, artist ; illustrator [person] ; Bone, J. (Jason), artist [person] ; Stewart, Dave, artist [person]",,,United States of America,New York,DC Comics,2015,Comic or graphic novel
DC Comics : Zero Year,Zero Year,9781401249373,,The New 52!,,United States of America,New York,DC Comics,2014,Comic or graphic novel ; Novel
DC Comics super hero collection,Super hero collection,,,,,England,London,Eaglemoss,2007-2012,Comic or graphic novel ; Periodical
DC Comics: the sequential art of Amanda Conner,Sequential art of Amanda Conner,9781401237400,"Conner, Amanda, artist ; author [person]",,,England ; United States of America,London ; New York,DC Comics ; Turnaround,2012,Comic or graphic novel
DC One Million Omnibus,,9781401242435,"Morrison, Grant [person] ; Sook, Ryan [person]",,,United States of America,New York,DC Comics,2013,Comic or graphic novel ; Novel
DC Universe Supergirl,Supergirl,,,,,United States of America,"Burbank, California",DC Comics,2016,Comic or graphic novel ; Periodical
DC Universe by Mike Mignola,,9781401268886,"Kupperberg, Paul, author [person] ; Mignola, Michael, artist ; author [person] ; Bryant, Rick, artist [person] ; Garzon, Carlos, artist [person] ; Byrne, John, 1950-, author [person] ; Russell, P. Craig, artist [person] ; Stern, Roger, author [person]",,,United States of America,Burbank,DC Comics,2017,Comic or graphic novel
DC Universe by Neil Gaiman,,9781401264888,"Grant, Alan, 1949-, author [person] ; Sinclair, Alex, artist [person] ; Miller, Frank, 1957-, artist [person] ; Hollingsworth, Matt, artist [person] ; Carlin, Mike (Michael), 1958-, artist [person] ; Bolland, Brian, artist [person] ; Gaiman, Neil, author [person] ; Adams, Art, 1963-, artist [person] ; Fletcher, Jared K. [person] ; Allred, Laura [person] ; Verheiden, Mark, author [person] ; Costanza, John [person] ; Aparo, Jim, artist [person] ; Kubert, Andy, artist [person] ; Barreto, Eduardo, artist [person] ; Allred, Mike (Mike Dalton), artist [person] ; Hoolahan, Nansi [person] ; Guzman, Albert de [person]",,,United States of America,"Burbank, California",DC Comics,2016,Comic or graphic novel
DC Universe online legends,,,"Porter, Howard [person] ; Bedard, Tony [person] ; Wolfman, Marv [person]",,,United States of America,New York,DC Comics,2011-,Comic or graphic novel ; Fiction
DC Universe origins,,9781401226466 ; 9781848566323,"Hamboussi, Peter [person]",DC Universe,,England,London,Titan,2009,Comic or graphic novel ; Fiction
DC Universe presents,DC Universe presents (2010),,,,,England,London,Titan Magazines,2010-,Comic or graphic novel ; Fiction ; Periodical
DC goes to war,,9781779500151,,,,United States of America,"Burbank, California",DC Comics,2020,Comic or graphic novel ; Fiction
DC showcase presents All star comics,All star comics ; Justice Society of America ; Showcase presents All star comics,9780857688101 ; 9781401233037,"Levitz, Paul [person] ; Staton, Joe [person]",Showcase presents library of classics,,United States of America,New York,DC Comics,2011,Comic or graphic novel ; Fantasy ; Science fiction
DC super hero girls,DC superhero girls ; Superhero girls,,,,,England,London,Egmont,2017-,Children's literature ; Comic or graphic novel ; Periodical
DC superhero girls,DC super hero girls ; Superhero girls,,,,,England,London,Egmont,2017-,Children's literature ; Comic or graphic novel ; Periodical
DC versus Marvel,,9781848566958,"David, Peter (Peter Allen) [person]",,,England,London,Titan,2010,Comic or graphic novel
DC women of action,Women of action,9781452173948,"Fontana, Shea, author [person]",,,United States of America,San Francisco,Chronicle,2019,Comic or graphic novel ; Pictorial work
DFC,MeZolith,9780385618267,"Haggarty, Ben [person] ; Brockbank, Adam [person]",The DFC library,,England,Oxford,David Fickling,2010,Children's fiction ; Comic or graphic novel
DISASTER INC,,9781949028539,"Harris, Joe, author ; writer [person] ; Piriz, Sebastian, artist [person] ; Marts, Michael, editor [person]",,,United States of America,Dallas,Aftershock Comics,2021,Comic or graphic novel ; Fiction ; Novel
DMC,D.M.C ; Detroit metal city : DMC,,"Ishii, Anne [person] ; Wakasugi, Kiminori [person]",,,United States of America,"San Francisco, California",Media,2009-,Comic or graphic novel ; Novel
DMZ the deluxe edition book three,,9781401250003,"Cook, Nikki, illustrator [person] ; Fletcher, Jared K. [person] ; Wood, Brian, 1972-, author [person] ; Kelly, Ryan, 1976-, illustrator [person] ; Burchielli, Riccardo, illustrator [person] ; Donaldson, Kristian, illustrator [person] ; Cox, Jeremy, illustrator [person]",,,United States of America,New York,DC Comics ; Vertigo,2014,Comic or graphic novel ; Fiction ; Novel
DMZ,Blood in the game ; Body of a journalist ; Collective punishment ; Five nations of New York ; Free states rising ; Friendly fire ; Hearts and minds ; Hidden war ; M.I.A ; On the ground ; Public works ; War powers,,"Kelly, Ryan, 1976- [person] ; Burchielli, Riccardo [person] ; Wood, Brian, 1972- [person]",,,United States of America,New York,DC Comics,2006-2012,Comic or graphic novel
DSBC magazine,DSBC magazine (Print) ; Daughters and sons of the black continent magazine,,,,,England,London,DSBC,2008-,Comic or graphic novel ; Periodical
Daan Jippes collection,Donald Duck family ; Walt Disney's Donald Duck family : the Daan Jippes collection,9781603600453,"Jippes, Daan [person] ; Barks, Carl, 1901-2000 [person]",,,United States of America,"York, Penn",Gemstone Pub,2008-,Children's fiction ; Comic or graphic novel ; Novel
Dachau playgroup,,,,,,England,Peterborough,Retch Russell,1988,Comic or graphic novel
Daddy Cool,,9780870679292,"Goines, Donald [person]",Black experience,,England ; United States of America,"London ; Los Angeles, California",Holloway House ; Turnaround,2003,Comic or graphic novel ; Fiction ; Novel
Daddy issues,Angel & Faith. Daddy issues ; Angel & Faith. Season 9. Volume 2 ; Women of age,9781595829603,"Jackson, Dan, 1971- [person] ; Gage, Christos [person] ; Samnee, Chris [person] ; Whedon, Joss, 1964- [person] ; Bellaire, Jordie [person] ; Isaacs, Rebekah [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2012,Comic or graphic novel
Daemon,DǼmon ; The kill cell,,,,,England,Braintree,Insomnia,2007-,Comic or graphic novel ; Fiction ; Periodical
Daffodil,,9780785140016,"Brémaud, Frédéric [person] ; Sumerak, Marc [person] ; Rigano, Giovanni [person]",,,United States of America,New York,Marvel Worldwide,2010,Comic or graphic novel ; Fiction
Daffy Duck,,,,,,Australia ; Wales,"Crows Nest, New South",Rosnock Publications,,Comic or graphic novel
Daffy and friends annual,Daffy and friends ; Looney Tunes presents Daffy and friends,,,,,England,Tunbridge Wells,Panini,2010-,Children's literature ; Comic or graphic novel ; Periodical
Daffy and friends,Daffy and friends annual ; Looney Tunes presents Daffy and friends,,,,,England,Tunbridge Wells,Panini,2010-,Children's literature ; Comic or graphic novel ; Periodical
Daily strips,,,,,,England,London,Daily Mirror Newspapers,,Comic or graphic novel
Daisy Town,Daisy Town. English,9781849183161,"Goscinny, 1926-1977, author [person] ; Morris, 1923-2001, artist [person]",A Lucky Luke adventure,61 [A Lucky Luke adventure],England,"Canterbury, Kent",Cinebook,2016,Children's fiction ; Comic or graphic novel ; Western
Daktari comic album,Ivan Tors' Daktari,,"Tors, Ivan [person]",,,England,Manchester,World,1968-1968,Comic or graphic novel
Dalesman magazine,Sheep at half the price,9781855682146,"Jex, Wally [person] ; Silvey, Hugh [person] ; Silvey-Jex Partnership [organisation]",,,England,Skipton,Dalesman,2004,Comic or graphic novel
Dalton City,,9781902172019,"Goscinny, 1926-1977 [person] ; Morris, 1923-2001 [person]",,,England,London,Glo'worm,1998,Comic or graphic novel
Dama de la muerte,Joe Benitez's Lady Mechanika in La dama de la muerte ; Lady Mechanika. La dama de la muerte,9780996603065,"Sotelo, Beth, artist [person] ; Benitez, Joe, 1971-, author ; creator [person] ; Chen, Marcia, author [person] ; Steigerwald, Peter, artist [person] ; Garcia, Mike, colorist, artist [person]",Lady Mechanika,,United States of America,Encino,Benitez Productions,2017,Comic or graphic novel ; Novel
